,date,weather_code,temperature_2m_max,precipitation_sum,temperature_2m_mean,temperature_2m_min,visibility_mean,wind_speed_10m_mean
0,2023-01-01 00:00:00+00:00,71.0,-6.3,0.4,-7.2937503,-8.0,,5.050155
1,2023-01-02 00:00:00+00:00,3.0,-7.0,0.0,-9.414583,-13.0,,11.658464
2,2023-01-03 00:00:00+00:00,3.0,-5.0,0.0,-7.2625003,-8.85,,7.5221987
3,2023-01-04 00:00:00+00:00,3.0,-7.65,0.0,-9.227084,-11.35,,5.9253488
4,2023-01-05 00:00:00+00:00,3.0,-7.15,0.0,-8.983334,-12.6,,6.790324
5,2023-01-06 00:00:00+00:00,3.0,-7.25,0.0,-9.033334,-11.75,,5.5483756
6,2023-01-07 00:00:00+00:00,3.0,-7.35,0.0,-10.270835,-14.65,,21.887758
7,2023-01-08 00:00:00+00:00,3.0,-8.25,0.0,-11.766665,-15.9,,9.04614
8,2023-01-09 00:00:00+00:00,3.0,-6.95,0.0,-11.472916,-16.35,,10.442921
9,2023-01-10 00:00:00+00:00,3.0,-5.4,0.0,-5.9979157,-6.8,,14.524701
10,2023-01-11 00:00:00+00:00,71.0,-6.25,0.5,-7.1000004,-8.7,,13.770514
11,2023-01-12 00:00:00+00:00,3.0,-8.75,0.0,-11.408334,-15.15,,9.2011385
12,2023-01-13 00:00:00+00:00,3.0,-6.05,0.0,-9.891665,-13.9,,22.4143
13,2023-01-14 00:00:00+00:00,3.0,-3.65,0.0,-6.5020843,-10.8,,11.929871
14,2023-01-15 00:00:00+00:00,51.0,-2.2,0.1,-3.7520835,-5.85,,4.56668
15,2023-01-16 00:00:00+00:00,3.0,-3.75,0.0,-5.814583,-9.15,,15.649797
16,2023-01-17 00:00:00+00:00,3.0,-9.3,0.0,-10.052084,-11.3,,15.300891
17,2023-01-18 00:00:00+00:00,3.0,-6.75,0.0,-8.691668,-10.3,,7.58943
18,2023-01-19 00:00:00+00:00,3.0,-6.85,0.0,-8.427083,-9.5,,5.447222
19,2023-01-20 00:00:00+00:00,3.0,-3.15,0.0,-6.991667,-9.8,,9.145999
20,2023-01-21 00:00:00+00:00,3.0,-5.35,0.0,-9.720833,-16.4,,9.634124
21,2023-01-22 00:00:00+00:00,71.0,-4.4,0.1,-12.706248,-18.2,,13.140435
22,2023-01-23 00:00:00+00:00,73.0,-0.9,2.5999997,-6.6770835,-17.65,,14.19413
23,2023-01-24 00:00:00+00:00,71.0,-10.05,1.0,-13.879167,-17.6,,13.136688
24,2023-01-25 00:00:00+00:00,3.0,-16.4,0.0,-20.245832,-25.8,,6.4607315
25,2023-01-26 00:00:00+00:00,73.0,-6.15,4.1,-11.193749,-16.95,,16.23328
26,2023-01-27 00:00:00+00:00,71.0,-7.7,0.4,-16.077082,-24.8,,23.0682
27,2023-01-28 00:00:00+00:00,3.0,-22.75,0.0,-26.199999,-30.05,,10.007098
28,2023-01-29 00:00:00+00:00,3.0,-22.0,0.0,-25.879166,-29.4,,11.4121895
29,2023-01-30 00:00:00+00:00,3.0,-17.95,0.0,-23.912497,-29.0,,15.52374
30,2023-01-31 00:00:00+00:00,3.0,-20.7,0.0,-25.393753,-29.95,,9.9621525
31,2023-02-01 00:00:00+00:00,73.0,-14.4,0.7,-22.325003,-31.35,,10.849847
32,2023-02-02 00:00:00+00:00,3.0,-19.25,0.0,-26.152079,-32.1,,17.85555
